"Year","Player","Pos","Age","Tm","G","MP","PTS","AST","TRB","STL","BLK","FG.","X3P","X3PA","X3P.","FT.","PER","WS","BPM","VORP","TS."
1990,"Dell Curry","SG",25,"CHH",67,1860,1070,159,168,98,26,0.466,52,147,0.354,0.923,15.9,1.8,-0.1,0.9,0.517
1990,"Quintin Dailey","SG",29,"SEA",30,491,247,34,51,12,0,0.404,1,5,0.2,0.788,10,0.1,-6.1,-0.5,0.459
1990,"Adrian Dantley*","SF",33,"DAL",45,1300,662,80,172,20,7,0.477,0,2,0,0.787,15.4,3.1,-1.2,0.3,0.556
1990,"Brad Daugherty","C",24,"CLE",41,1438,690,130,373,29,22,0.479,0,2,0,0.704,16,3.1,-0.5,0.6,0.543
1990,"Brad Davis","PG",34,"DAL",73,1292,470,242,93,47,9,0.49,35,104,0.337,0.77,13.7,2.9,-1.6,0.1,0.575
1990,"Charles Davis","SF",31,"CHI",53,429,130,18,81,10,8,0.367,7,25,0.28,0.875,6.7,-0.2,-8.1,-0.7,0.402
1990,"Terry Davis","PF",22,"MIA",63,884,298,25,229,25,28,0.466,0,1,0,0.621,9,0.5,-4.7,-0.6,0.496
1990,"Walter Davis","SG",35,"DEN",69,1635,1207,155,179,59,9,0.481,6,46,0.13,0.912,18.3,3.6,-1.4,0.3,0.533
1990,"Johnny Dawkins","PG",26,"PHI",81,2865,1162,601,247,121,9,0.489,22,66,0.333,0.861,16,6.4,0.4,1.7,0.549
1990,"Vinny Del","SG",23,"SAC",76,1858,739,250,198,64,10,0.462,10,32,0.313,0.871,12.6,2.2,-2.6,-0.3,0.52
1990,"Byron Dinkins","PG",22,"HOU",33,362,115,75,40,19,2,0.404,1,9,0.111,0.867,10.9,0.3,-4.1,-0.2,0.471
1990,"Vlade Divac","C",21,"LAL",82,1611,701,75,512,79,114,0.499,0,5,0,0.708,17.5,5,1.5,1.4,0.544
1990,"James Donaldson","C",32,"DAL",73,2265,665,57,630,22,47,0.539,0,0,NA,0.7,12.2,4.5,-1.7,0.1,0.581
1990,"Sherman Douglas","PG",23,"MIA",81,2470,1155,619,206,145,10,0.494,5,31,0.161,0.687,17,4.4,-0.2,1.2,0.534
1990,"Terry Dozier","SF",23,"CHH",9,92,22,3,15,6,2,0.333,0,1,0,0.5,5.1,-0.2,-6,-0.1,0.36
1990,"Greg Dreiling","C",27,"IND",49,307,65,8,87,4,14,0.377,0,0,NA,0.735,6,0.2,-6.3,-0.3,0.478
1990,"Larry Drew","PG",31,"LAL",80,1333,418,217,98,47,4,0.444,32,81,0.395,0.767,10.2,1.4,-3.6,-0.5,0.511
1990,"Clyde Drexler*","SG",27,"POR",73,2683,1703,432,507,145,51,0.494,30,106,0.283,0.774,22.2,11.6,7.9,6.6,0.551
1990,"Kevin Duckworth","C",25,"POR",82,2462,1327,91,509,36,34,0.478,0,0,NA,0.74,13.3,4.8,-2.4,-0.2,0.517
1990,"Chris Dudley","PF",24,"TOT",64,1356,350,39,423,41,72,0.411,0,0,NA,0.319,9.5,0.2,-4,-0.7,0.402
